numero,nom,prenom,genre,district,region,parti_politique,groupe_parlementaire,status
1,AFAKANDRO,Christian,Masculin,Mahajanga,BOENY,Firaisankina,FIRAISANKINA,ACTIVE
2,MENA,Honaisiford Edwin,Masculin,Mitsinjo,BOENY,,Non_Affilié,ACTIVE
3,ANDRIAMAMERIARIVO,Déo Romelis,Masculin,Bekily,ANDROY,IRMAR,GPIF1,ACTIVE
4,ANDRIAMAMONJY,Olivier,Masculin,Amboasary,ANOSY,Indépendant,GPIF1,ACTIVE
5,RAMANANARIVO,Samoela,Masculin,Antananarivo IV,ANALAMANGA,Firaisankina,FIRAISANKINA,ACTIVE
6,ANDRIAMANANORO,RAZAFINARIVO Augustin,Masculin,Antananarivo I,ANALAMANGA,IRMAR,IRMAR,ACTIVE
7,ANDRIAMANJATO,Liantsoa Bina,Masculin,Andramasina,ANALAMANGA,Indépendant,GPIF3,ACTIVE
8,ANDRIAMIHAJA,Fanomezantsoa Yves Georges,Masculin,Ambositra,AMORON'I MANIA,Indépendant,Non_Affilié,ACTIVE
9,ANDRIAMIHARIVOLAMENA,Liva Zavamanitra,Masculin,Fandriana,AMORON'I MANIA,Indépendant,Non_Affilié,ACTIVE
10,ANDRIAMOSA,Benjamina Avotraina Rajaobelina Mary Thomasson,Masculin,Avaradrano,ANALAMANGA,Firaisankina,FIRAISANKINA,ACTIVE
11,ANDRIANAMBENANA,Velomihoatra Tsimanositra Painchard,Masculin,Farafangana,ATSIMO ATSINANANA,IRMAR,Non_Affilié,ACTIVE
12,ANDRIANANARIVONOMENJANAHARY,Andrianasolo Joseph Oslo Sandland,Masculin,Antsalova,MELAKY,Indépendant,GPIF1,ACTIVE
13,ANDRIANARY,Thierry Didier,Masculin,Toamasina II,ATSINANANA,IRMAR,GPIF2,ACTIVE
14,ANDRIANASOLO,Andrianiaina Jean Patrick,Masculin,Ambatondrazaka,ALAOTRA MANGORO,IRMAR,GPIF3,ACTIVE
15,ANDRIANASOLO,Nadine,Feminin,Manakara,FITOVINANY,IRMAR,IRMAR,ACTIVE
16,ANDRIANIRINA,Narcis,Masculin,Mahabo,MENABE,IRMAR,GPIF1,ACTIVE
17,ANDRIANJANAHARY,Fanomezantsoa,Masculin,Manandriana,AMORON'I MANIA,Indépendant,GPIF3,ACTIVE
18,AROSY,Namiandrazana François,Masculin,Nosy Be,DIANA,Indépendant,GPIF1,ACTIVE
19,ASSIMO,Bruno,Masculin,Ambilobe,DIANA,IRMAR,IRMAR,ACTIVE
20,BARINIAINA,Fidy,Masculin,Manjakandriana,ANALAMANGA,FIVOI,IRMAR,ACTIVE
21,Befeno Todimanana,Aymar Hyacinthe,Masculin,Antsohihy,SOFIA,IRMAR,Non_Affilié,ACTIVE
22,BEFOTOTO,Angelin,Masculin,Andapa,SAVA,IRMAR,Non_Affilié,ACTIVE
23,BOTOTEFY,Herimanantsoa Odilon,Masculin,Vondrozo,ATSIMO ATSINANANA,IRMAR,GPIF1,ACTIVE
24,DARKHAOUI,Siritis,Masculin,Ambanja,DIANA,IRMAR,IRMAR,ACTIVE
25,DINAH,Romual,Masculin,Maroantsetra,ANALANJIROFO,IRMAR,GPIF3,ACTIVE
26,FERNAND,Eric Sandhy,Masculin,Antalaha,SAVA,Indépendant,Non_Affilié,ACTIVE
27,FIAROVANA,Lovanirina Célestin,Masculin,Betafo,VAKINANKARATRA,IRMAR,GPIF2,ACTIVE
28,FIENENA,Richard Désiré,Masculin,Manja,MENABE,IRMAR,Non_Affilié,ACTIVE
29,FIHEREZAVINANY,Mena,Masculin,Morafenobe,MELAKY,IRMAR,GPIF1,ACTIVE
