numero,nom,prenom,genre,district,region,parti_politique,groupe_parlementaire,status,photo_url
1.0,AFAKANDRO,Christian,Masculin,Mahajanga,BOENY,Firaisankina,FIRAISANKINA,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/PHOTO_1_afakandro_christian.webp
2.0,MENA,Honaisiford Edwin,Masculin,Mitsinjo,BOENY,,Non_Affilié,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/PHOTO_2_mena_honaisiford-edwin.jpeg
3.0,ANDRIAMAMERIARIVO,Déo Romelis,Masculin,Bekily,ANDROY,IRMAR,GPIF1,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N03.webp
4.0,ANDRIAMAMONJY,Olivier,Masculin,Amboasary,ANOSY,Indépendant,GPIF1,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N04.webp
5.0,RAMANANARIVO,Samoela,Masculin,Antananarivo IV,ANALAMANGA,Firaisankina,FIRAISANKINA,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/PHOTO_5_ramananarivo_samoela.webp
6.0,ANDRIAMANANORO,RAZAFINARIVO Augustin,Masculin,Antananarivo I,ANALAMANGA,IRMAR,IRMAR,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N06.webp
7.0,ANDRIAMANJATO,Liantsoa Bina,Masculin,Andramasina,ANALAMANGA,Indépendant,GPIF3,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/4.webp
8.0,ANDRIAMIHAJA,Fanomezantsoa Yves Georges,Masculin,Ambositra,AMORON'I MANIA,Indépendant,Non_Affilié,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/08.webp
9.0,ANDRIAMIHARIVOLAMENA,Liva Zavamanitra,Masculin,Fandriana,AMORON'I MANIA,Indépendant,Non_Affilié,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N09.webp
10.0,ANDRIAMOSA,Benjamina Avotraina Rajaobelina Mary Thomasson,Masculin,Avaradrano,ANALAMANGA,Firaisankina,FIRAISANKINA,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/PHOTO_10_andriamosa_benjamina-avotraina-rajaobelina-mary-thomasson.webp
11.0,ANDRIANAMBENANA,Velomihoatra Tsimanositra Painchard,Masculin,Farafangana,ATSIMO ATSINANANA,IRMAR,Non_Affilié,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N11.webp
12.0,ANDRIANANARIVONOMENJANAHARY,Andrianasolo Joseph Oslo Sandland,Masculin,Antsalova,MELAKY,Indépendant,GPIF1,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N12.webp
13.0,ANDRIANARY,Thierry Didier,Masculin,Toamasina II,ATSINANANA,IRMAR,GPIF2,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N13.webp
14.0,ANDRIANASOLO,Andrianiaina Jean Patrick,Masculin,Ambatondrazaka,ALAOTRA MANGORO,IRMAR,GPIF3,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N14.webp
15.0,ANDRIANASOLO,Nadine,Feminin,Manakara,FITOVINANY,IRMAR,IRMAR,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N15.webp
16.0,ANDRIANIRINA,Narcis,Masculin,Mahabo,MENABE,IRMAR,GPIF1,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N16.webp
17.0,ANDRIANJANAHARY,Fanomezantsoa,Masculin,Manandriana,AMORON'I MANIA,Indépendant,GPIF3,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/10.webp
18.0,AROSY,Namiandrazana François,Masculin,Nosy Be,DIANA,Indépendant,GPIF1,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N18.webp
19.0,ASSIMO,Bruno,Masculin,Ambilobe,DIANA,IRMAR,IRMAR,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N19.webp
20.0,BARINIAINA,Fidy,Masculin,Manjakandriana,ANALAMANGA,FIVOI,IRMAR,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N20.webp
21.0,Befeno Todimanana,Aymar Hyacinthe,Masculin,Antsohihy,SOFIA,IRMAR,Non_Affilié,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N21.webp
