id,titre,date,heure,type_seance,lieu,status,session,is_live
291,Conférence des Présidents – (Salle B.P),2026-06-19,14:00:00,Conférence des Présidents,Salle BP,A_VENIR,,Non
292,SEANCE PLENIERE – (Salle des Séances),2026-06-19,16:00:00,Séance Plénière,Salle des séances,A_VENIR,,Non
290,Réunion des membres du Bureau Permanent – (Salle BP),2026-06-19,10:00:00,Réunion des membres du Bureau Permanent,Salle BP,A_VENIR,,Non
287,.  : SEANCE PLENIERE – (Salle des Séances),2026-06-18,11:00:00,Séance Plénière,Salle des séances,A_VENIR,,Non
288,SEANCE PLENIERE – (Salle des Séances),2026-06-18,14:00:00,Séance Plénière,Salle des séances,A_VENIR,,Non
286,SEANCE PLENIERE – (Salle des Séances),2026-06-18,09:00:00,Séance Plénière,Salle des séances,A_VENIR,,Non
289,SEANCE PLENIERE – (Salle des Séances),2026-06-18,17:00:00,Séance Plénière,Salle des séances,A_VENIR,,Non
285,SEANCE PLENIERE – (Salle des Séances),2026-06-17,17:00:00,Séance Plénière,Salle des séances,A_VENIR,,Non
283,SEANCE PLENIERE – (Salle des Séances),2026-06-17,10:00:00,Séance Plénière,Salle des séances,A_VENIR,,Non
284,SEANCE PLENIERE – (Salle des Séances),2026-06-17,15:00:00,Séance Plénière,Salle des séances,A_VENIR,,Non
281,SEANCE PLENIERE – (Salle des Séances),2026-06-16,15:00:00,Séance Plénière,Salle des séances,A_VENIR,,Non
279,TRAVAUX DES COMMISSIONS – (Salle BP),2026-06-16,09:00:00,Travaux des commissions,Salle BP,A_VENIR,,Non
282,SEANCE PLENIERE – (Salle des Séances),2026-06-16,17:00:00,Séance Plénière,Salle des séances,A_VENIR,,Non
280,TRAVAUX DES COMMISSIONS – (Salle BP),2026-06-16,11:00:00,Travaux des commissions,Salle BP,A_VENIR,,Non
277,SEANCE PLENIERE – (Salle des Séances),2026-06-15,10:00:00,Séance Plénière,Salle des séances,A_VENIR,,Non
278,SEANCE PLENIERE – (Salle des Séances),2026-06-15,15:00:00,Séance Plénière,Salle des séances,A_VENIR,,Non
276,TRAVAUX DES COMMISSIONS – (Salle BP),2026-06-12,14:00:00,Travaux des commissions,Salle BP,A_VENIR,,Non
275,TRAVAUX DES COMMISSIONS – (Salle BP),2026-06-09,14:00:00,Travaux des commissions,Salle BP,A_VENIR,,Non
274,SEMINAIRE DE FORMATION PARLEMENTAIRE SUR L’INTELLIGENCE ARTIFICIELLE ORGANISE PAR,2026-06-08,10:00:00,Autre,Salle des séances,A_VENIR,,Non
272,RENCONTRE AVEC LE COUR DES COMPTES ET LA BANQUE CENTRALE – (Salle des Séances),2026-06-05,09:00:00,Autre,Salle des séances,A_VENIR,,Non
273,TRAVAUX DES COMMISSIONS – (Salle BP),2026-06-05,14:00:00,Travaux des commissions,Salle BP,A_VENIR,,Non
269,SEANCE PLENIERE – (Salle des Séances),2026-06-04,10:00:00,Séance Plénière,Salle des séances,A_VENIR,,Non
271,SEANCE PLENIERE – (Salle des Séances),2026-06-04,17:00:00,Séance Plénière,Salle des séances,A_VENIR,,Non
270,SEANCE PLENIERE – (Salle des Séances),2026-06-04,15:00:00,Séance Plénière,Salle des séances,A_VENIR,,Non
266,TRAVAUX DES COMMISSIONS – (Salle BP),2026-06-03,09:00:00,Travaux des commissions,Salle BP,A_VENIR,,Non
