numero,intitule,type_texte,origine,date_depot,status,auteur,resume
014-2026,"PROJET DE LOI n° 014/2026
PORTANT LOI DE FINANCES RECTIFICATIVE
POUR 2026",LFR,GOUVERNEMENT,2026-05-29T15:23:36.597143,DEPOT,,
PL n°004-2025,"PROJET DE LOI  n°004 2025 du 18 juin 2025
réprimant les infractions en matière foncière",PL,GOUVERNEMENT,2026-05-28T17:48:47.749167,AJOURNE_EXAMEN_COMMISSION,,
022-2025,"PROJET DE LOI N°022/2025 du 08 décembre 2025
SUR LA LUTTE CONTRE LA TRAITE DES ETRES HUMAINS",PL,GOUVERNEMENT,2026-05-28T17:43:42.106173,AJOURNE_EXAMEN_COMMISSION,,
017-2025,"Portant présentation au Parlement du projet de loi n°017/2025 du 3 décembre 2025
sur l’accès à l’information à caractère public",PL,GOUVERNEMENT,2026-05-28T17:39:54.163210,AJOURNE_EXAMEN_COMMISSION,,
016-2025,"PROJET DE LOI N° 016/2025 du 19/11/25
Relative à la Prévoyance Sociale",PL,GOUVERNEMENT,2026-05-28T17:38:37.867219,AJOURNE_EXAMEN_COMMISSION,,
002-2026/PP,"PROPOSITION DE LOI  ORGANIQUE n° 015-2025/PL
relative au Conseil économique, social, et culturel",PP,AN,2026-05-28T17:35:43.861603,AJOURNE_EXAMEN_COMMISSION,Hervé HANOGNONA,
003-2026/PP,"PROPOSITION DE LOI ORGANIQUE n°003-2024/PL
portant refonte du Statut de la Magistrature
Présentée par RABY SAVATSARAH Ain’Harimanga,
Député de Madagascar
élue à Farafangana,
Présidente de la Commission Juridique",PP,AN,2026-05-28T17:27:37.568146,EXAMEN_COMMISSION,SAVATSARAH Ain' Harimanga Gabrielle RABY,
004-2026/PP,PROPOSITION DE LOI n°012-2025/PL portant Code du Transport Fluvial et de la Navigation Intérieure,PP,AN,2026-05-28T17:26:59.149832,EXAMEN_COMMISSION,Velomanana Solomampionona RAZAFITSIALA,
005-2026/PP,"PROPOSITION DE LOI n° 006-2025/PL
modifiant certaines dispositions de la Loi n° 2015-005
portant refonte du Code de gestion des aires protégées,
présentée par Dinah ROMUAL, Député de Madagascar
élu dans le District de Maroantsetra",PP,AN,2026-05-28T17:26:17.498281,EXAMEN_COMMISSION,Romual DINAH,
006-2026/PP,"PROPOSITION  DE LOI n° 002-2025/PL
portant refonte de  la Loi  n° 2015-054 du 16 décembre  2015
portant Code de l’Artisanat",PP,AN,2026-05-28T17:25:40.541912,ADOPTION_SEANCE,Sophie Soamiadana RATSIRAKA,
018-2025/PL,"PROPOSITION DE LOI n° 018-2025/PL
portant Statut Particulier du Corps des Administrateurs Civils",PP,AN,2026-05-28T17:25:04.931503,EXAMEN_COMMISSION,Siteny Thierry RANDRIANASOLONIAIKO,
016-2025/PL,"PROPOSITION DE LOI  n° 016-2025/PL
fixant le régime particulier des Corps des Agents du Service des Domaines, présentée par RAZAFINDRAMASY FARALAHY Célestin,
Député de MADAGASCAR élu à Benenitra",PP,AN,2026-05-28T17:24:19.609139,EXAMEN_COMMISSION,Faralahy Célestin RAZAFINDRAMASY,
013-2025/PL,PROPOSITION DE LOI  n° 013-2025/PL portant Code du  Transport Maritime de Madagascar,PP,AN,2026-05-28T17:23:37.823584,EXAMEN_COMMISSION,Velomanana Solomampionona RAZAFITSIALA,
010-2025/PL,"PROPOSITION DE LOI n°010-2025/PL
modifiant et complétant certaines dispositions de la Loi n°2011-002
du 15 juillet  2011, modifiée et complétée par la Loi n°2022-024
du 30 janvier 2023, portant Code de la Santé",PP,AN,2026-05-28T17:22:58.861108,EXAMEN_COMMISSION,Fanomezantsoa Yves Georges ANDRIAMIHAJA,
009-2025/PL,"PROPOSITION DE LOI n° 009-2025/PL
relative  à la refonte de la Loi n° 95-010 du 10 juillet 1995
portant Statut du personnel du Corps de l’Administration Pénitentiaire",PP,AN,2026-05-28T17:21:57.002533,EXAMEN_COMMISSION,Velomanana Solomampionona RAZAFITSIALA,
008-2025/PL,"PROPOSITION DE LOI n° 008-2025/PL
portant Statut particulier des Greffiers Judiciaires de Madagascar",PP,AN,2026-05-28T17:21:12.117593,EXAMEN_COMMISSION,Velomanana Solomampionona RAZAFITSIALA,
002-2026,"Projet de Loi n° 002/2026 du 15 janvier 2026
Portant régime de protection de la Propriété Industrielle à Madagascar",PL,GOUVERNEMENT,2026-05-28T17:18:35.335769,EXAMEN_COMMISSION,,
024-2025,"PROJET DE LOI  n° 024/2025 du 08 décembre 2025
sur les sûretés",PL,GOUVERNEMENT,2026-05-28T17:14:40.180133,ADOPTION_SEANCE,,
015-2025/PL,"PROPOSITION DE LOI  ORGANIQUE n° 015-2025/PL relative au Conseil économique, social, et culturel",PP,AN,2026-05-26T12:04:07.314911,AJOURNE_ADOPTION_SEANCE,Hervé HANOGNONA,
RI-AN,Règlement intérieur de l'Assemblée Nationale,RI,AN,2026-05-18T06:23:46.149033,PROMULGATION,,Règlement intérieur de l'Assemblée Nationale
CT-2010,Constitution de la IVème République,CT,AN,2026-05-18T06:23:29.350360,PROMULGATION,,Constitution de la IVème République
023-2025,"PROJET DE LOI  n° 023/ 2025 du 08 décembre 2025
relatif a l’enregistrement des naissances a titre dérogatoire
dans le cadre de l’opération d’enrôlement biométrique de masse",PL,GOUVERNEMENT,2026-04-20T10:33:54.974000,LOI_ADOPTE,,
023-2025,"PROJET DE LOI  n° 023/ 2025 du 08 décembre 2025
relatif a l’enregistrement des naissances a titre dérogatoire
dans le cadre de l’opération d’enrôlement biométrique de masse",PL,GOUVERNEMENT,2026-04-17T11:46:22.367000,LOI_ADOPTE,,
001-2026/PP,PROPOSITION DE LOI n° 011-2025/PL sur la protection spéciale des personnes atteintes d’albinisme,PP,AN,2026-04-07T10:53:39.828000,LEGISLATIF,Jean Nicolas RANDRIANASOLO,"La proposition de loi n° 011‐2025/PL vise à renforcer la protection des personnes atteintes d’albinisme à Madagascar, en s’appuyant sur les articles constitutionnels garantissant le droit à la vie et l’interdiction de traitements cruels. Face à la hausse des agressions, le texte prévoit des mesures "
